key,metrics.diff_pct,metrics.match_avg_pct,metrics.match_curve_error_max,metrics.match_curve_error_pct,metrics.match_curve_pct,metrics.match_curve_r2,metrics.match_curve_rmse_pct,metrics.match_end_pct,metrics.match_half_curve_pct,metrics.match_half_rmse_pct,metrics.match_hubble_curve_pct,metrics.match_hubble_curve_r2,metrics.match_hubble_end_pct,metrics.match_hubble_half_curve_pct,metrics.match_hubble_half_rmse_pct,metrics.match_hubble_rmse_pct,metrics.match_max_pct,results.a_final,results.radius_max_Gpc,results.size_final_Gpc
2000p_5.8-2.2Gyr_51250M_1centerM_49S_300steps_42_123seeds,8.040963168271759,91.95903683172824,96.54282212379582,99.52886225185705,99.52886225185705,99.63886798507689,98.77559924094273,100.0,99.16174345573558,98.54663397526082,92.57907851725213,56.12798865466818,53.777788042767064,86.32547642892303,81.44207445974448,88.49202386713736,39.8142106729253,2.1059070202161214,14.992924947102207,15.001290792049604
2000p_5.8-2.2Gyr_51250M_1centerM_48S_300steps_42_123seeds,12.891523764129971,87.10847623587003,94.757018514477,99.2977395207753,99.29773952077531,99.09800751387112,98.0649506093643,99.757018514477,98.70022647950816,97.6996696152112,89.82996253837418,18.350667586823022,38.10118108650491,80.8244877213055,74.65189378944856,84.30065624670756,28.833346000196173,2.142257676930263,16.020702008876107,15.260232315400831
2000p_5.8-2.2Gyr_50000M_1centerM_50S_300steps_42_123seeds,4.258177915853011,95.74182208414699,98.21943206209376,99.67486677937785,99.67486677937782,99.90459391763406,99.3706697230044,100.0,99.45857475976518,99.25967951770409,94.98758410142244,80.73378133042803,68.44464309148422,91.16641214058303,87.75943663641374,92.37388372969558,50.41663874141993,2.071779038845407,14.00056845308503,14.758182350996401
2000p_5.8-2.2Gyr_50000M_1centerM_49S_300steps_42_123seeds,7.177273065434505,92.8227269345655,96.91027933123428,99.57028030891321,99.57028030891318,99.71742762364516,98.91693269298253,100.0,99.24495218273816,98.71540142976559,93.12683582779772,62.42615192266634,56.99404690460648,87.4240682328334,82.83485377007929,89.35003900179186,42.09960820033922,2.098427300310175,14.779018371826378,14.948009496971025
2000p_5.8-2.2Gyr_50000M_1centerM_48S_300steps_42_123seeds,11.156313215880488,88.84368678411951,95.22383517863273,99.36209640164482,99.36209640164483,99.26467522210525,98.25284999066432,100.0,98.82840545533756,97.92345298037912,90.56167703886418,29.35503874177845,42.1976704893813,82.28689340495069,76.42628089691061,85.39687591652014,31.674485219332666,2.132755460550692,15.754779624276775,15.19254389909825
2000p_5.8-2.2Gyr_50000M_1centerM_47S_300steps_42_123seeds,21.14117451656567,78.85882548343433,93.0217014129668,99.03981969097161,99.03981969097158,98.32496473791645,97.36304589189677,98.0217014129668,98.1882311264768,96.86416931146219,87.09114571718213,-29.54282410572482,22.81936554247956,75.35758530385216,68.06054783574915,80.22521091195861,18.279450185424068,2.1775806631298695,17.008516024808102,15.51185329511981
2000p_5.8-2.2Gyr_48750M_1centerM_50S_300steps_42_123seeds,4.153755837971374,95.84624416202863,98.88146618688687,99.49576758963431,99.4957675896343,99.86615397731028,99.2545932350965,100.0,99.1767039932433,99.13306448578003,96.17413038684502,91.68363014918774,79.05354360682531,94.04365700054066,92.23611636952734,94.98960370612633,60.034653425245025,2.035808990893896,13.1003501946459,14.501952069248633
2000p_5.8-2.2Gyr_48750M_1centerM_49S_300steps_42_123seeds,6.352034997962903,93.6479650020371,97.26625690997103,99.60452029161294,99.60452029161294,99.78271571754689,99.0502599534935,100.0,99.31421015770475,98.87481812974362,93.65016128969049,68.04414747995989,60.108035342526655,88.47463998074913,84.18102815647168,90.1784420401965,44.32935863286212,2.091181252259277,14.570320203118513,14.896392748054197
2000p_5.8-2.2Gyr_48750M_1centerM_48S_300steps_42_123seeds,10.090354585111243,89.90964541488876,95.67522018314118,99.42267845456614,99.42267845456615,99.4089054675517,98.433540879284,100.0,98.94922507127069,98.1387341460083,91.25710476206014,39.23543336807968,46.15686370404731,83.6781527228549,78.14232897695624,86.45651652283622,34.43380882363023,2.123567360997541,15.496514943759271,15.127093073444525
2000p_5.8-2.2Gyr_48750M_1centerM_47S_300steps_42_123seeds,18.45634609607181,81.54365390392819,93.60214866640378,99.12812996070164,99.12812996070164,98.61039293162509,97.59820131940273,98.60214866640378,98.36336197301411,97.14402637342357,88.0091863636262,-12.329738048299998,27.92443894149909,77.18915542031687,70.26037525591968,81.58581284459692,21.785980865061845,2.16576545638471,16.680314930782377,15.427688443371448
2000p_5.8-2.2Gyr_47500M_1centerM_50S_300steps_42_123seeds,5.030476146778099,94.9695238532219,98.8253315565775,99.45811386885443,99.45811386885441,99.84627418323122,99.2011522813947,99.79069256124907,99.10456390083883,99.06841554710017,96.38592404602791,93.04977259064768,81.13561826389028,94.46961616298515,92.97265850397898,95.41958648741047,61.576317155252205,2.031274429971658,12.956054944144796,14.469650421381113
2000p_5.8-2.2Gyr_47500M_1centerM_49S_300steps_42_123seeds,5.567303398028088,94.43269660197191,97.61098357643789,99.63489034196628,99.63489034196628,99.83573079363764,99.17421179747099,100.0,99.37592674313845,99.0233052776055,94.143313060903,73.02887001625187,63.121627211972076,89.46606978486795,85.4803388827133,90.97692118589389,46.50560351381713,2.0841642204605075,14.366629998739322,14.846407381416503
2000p_5.8-2.2Gyr_47500M_1centerM_48S_300steps_42_123seeds,9.058400310037612,90.94159968996239,96.1115198872812,99.47819092810323,99.47819092810323,99.53238213189088,98.60672724902811,100.0,99.0601685785771,98.34518201910187,91.92705660627938,48.07085669877977,49.98188162893919,85.01920621164814,79.80055562553953,87.47981463586703,37.11501505711339,2.1146863280066146,15.245561822416933,15.063829616344222
2000p_5.8-2.2Gyr_47500M_1centerM_47S_300steps_42_123seeds,15.796452079909642,84.20354792009036,94.16186424319243,99.21121812163298,99.21121812163295,98.86021412215091,97.82478479432294,99.16186424319243,98.52830874530324,97.41372949377039,88.89779011401033,3.1236682705847674,32.844634996609486,78.96264289893327,72.38464506114276,82.89929470519975,25.173385521847564,2.154372250164703,16.363263686736293,15.346529684737094
2000p_5.8-2.2Gyr_46250M_1centerM_50S_300steps_42_123seeds,5.9413573244898,94.0586426755102,98.76038903765688,99.42082011630447,99.42082011630445,99.8231143471138,99.14308666918843,99.57533524191285,99.03308878087711,98.99830238938715,96.58422396365641,94.16928375843263,83.14921855244079,94.86892050081292,93.64120464535047,95.8046699476529,63.08737791295872,2.0268907564561505,12.814624043026928,14.43842361007736
2000p_5.8-2.2Gyr_46250M_1centerM_49S_300steps_42_123seeds,4.832434330868949,95.16756566913105,97.94466457242989,99.65978779293143,99.65978779293143,99.87741951505515,99.28665230507518,100.0,99.42699687134666,99.15837623285258,94.61526608099562,77.42483579729775,66.036557982276,90.41574595060649,86.7322141970505,91.7449323101362,48.6302677599931,2.0773720271453846,14.167767592064376,14.798023636997662
